 Wavelength (A)   Ref (cm-2s-1)  Scale1     Scale2
  740.00  750.00   3.060e+07   3.060e+07   0.000e+00
  750.00  760.00   1.418e+08   1.025e+08   0.000e+00
  760.00  770.00   3.973e+08   2.340e+08   0.000e+00
  770.00  780.00   3.085e+08   6.600e+07   5.335e+06
  780.00  790.00   6.392e+08   2.732e+08   2.873e+06
  790.00  800.00   5.858e+08   3.281e+08   0.000e+00
  800.00  810.00   1.402e+08   1.402e+08   0.000e+00
  810.00  820.00   1.802e+08   1.802e+08   0.000e+00
  820.00  830.00   2.318e+08   2.318e+08   0.000e+00
  830.00  840.00   9.645e+08   5.746e+08   0.000e+00
  840.00  850.00   3.830e+08   3.830e+08   0.000e+00
  850.00  860.00   4.925e+08   4.925e+08   0.000e+00
  860.00  870.00   6.324e+08   6.324e+08   0.000e+00
  870.00  880.00   8.125e+08   8.125e+08   0.000e+00
  880.00  890.00   1.044e+09   1.044e+09   0.000e+00
  890.00  900.00   1.341e+09   1.341e+09   0.000e+00
  900.00  910.00   1.839e+09   1.781e+09   0.000e+00
  910.00  920.00   1.224e+09   1.113e+09   0.000e+00
  920.00  930.00   3.903e+08   3.751e+08   0.000e+00
  930.00  940.00   4.536e+08   3.865e+08   0.000e+00
  940.00  950.00   4.582e+08   4.039e+08   0.000e+00
  950.00  960.00   5.130e+07   2.555e+07   0.000e+00
  960.00  970.00   6.140e+07   3.058e+07   0.000e+00
  970.00  980.00   6.855e+09   4.483e+09   0.000e+00
  980.00  990.00   2.795e+08   1.440e+08   0.000e+00
  990.00 1000.00   4.881e+08   2.526e+08   0.000e+00
 1000.00 1010.00   1.265e+08   6.300e+07   0.000e+00
 1010.00 1020.00   2.363e+08   1.177e+08   0.000e+00
 1020.00 1030.00   4.556e+09   4.465e+09   0.000e+00
 1030.00 1040.00   5.992e+09   5.638e+09   0.000e+00
 1040.00 1050.00   2.596e+08   1.293e+08   0.000e+00
 1050.00 1100.00   3.208e+09   7.164e+08   0.000e+00
 1100.00 1150.00   3.139e+09   4.828e+08   0.000e+00
 1150.00 1210.00   1.571e+10   4.317e+09   0.000e+00
 1210.00 1220.00   3.788e+11   1.203e+11   0.000e+00
 1220.00 1250.00   7.076e+09   1.272e+09   0.000e+00
 1250.00 1300.00   7.608e+09   1.460e+09   0.000e+00
 1300.00 1350.00   2.594e+10   5.486e+09   0.000e+00
 1350.00 1400.00   1.355e+10   2.629e+09   0.000e+00
 1400.00 1450.00   1.795e+10   2.445e+09   0.000e+00
 1450.00 1500.00   2.772e+10   2.418e+09   0.000e+00
 1500.00 1550.00   5.017e+10   5.569e+09   0.000e+00
 1550.00 1600.00   7.190e+10   5.854e+09   0.000e+00
 1600.00 1650.00   1.045e+11   7.868e+09   0.000e+00
 1650.00 1700.00   1.986e+11   8.805e+09   0.000e+00
 1700.00 1750.00   3.378e+11   1.447e+10   0.000e+00
