 Wavelength (A)     Ref (cm-2s-1)    A
  630.00   640.00     4.877e+07   1.180e-02
  640.00   650.00     6.464e+07   1.180e-02
  650.00   660.00     2.266e+07   4.267e-03
  660.00   670.00     6.444e+06   4.267e-03
  670.00   680.00     1.102e+07   4.267e-03
  680.00   690.00     1.447e+08   4.267e-03
  690.00   700.00     4.521e+07   4.267e-03
  700.00   710.00     4.621e+08   3.419e-03
  710.00   720.00     2.032e+07   4.750e-03
  720.00   730.00     4.719e+06   4.750e-03
  730.00   740.00     6.140e+06   4.750e-03
  740.00   750.00     7.764e+06   4.750e-03
  750.00   760.00     1.228e+08   4.767e-03
  760.00   770.00     3.411e+08   4.310e-03
  770.00   780.00     3.171e+08   1.136e-02
  780.00   790.00     1.015e+09   3.735e-03
  790.00   800.00     9.393e+07   4.767e-03
  800.00   810.00     1.199e+08   4.817e-03
  810.00   820.00     1.541e+08   4.817e-03
  820.00   830.00     1.983e+08   4.817e-03
  830.00   840.00     8.250e+08   4.817e-03
  840.00   850.00     3.276e+08   4.817e-03
  850.00   860.00     4.030e+08   5.675e-03
  860.00   870.00     5.174e+08   5.675e-03
  870.00   880.00     6.648e+08   5.675e-03
  880.00   890.00     8.545e+08   5.675e-03
  890.00   900.00     1.097e+09   5.675e-03
  900.00   910.00     1.264e+09   4.983e-03
  910.00   920.00     8.412e+08   4.983e-03
  920.00   930.00     2.682e+08   4.983e-03
  930.00   940.00     3.117e+08   4.983e-03
  940.00   950.00     3.149e+08   4.983e-03
  950.00   960.00     4.256e+07   4.417e-03
  960.00   970.00     5.094e+07   4.417e-03
  970.00   980.00     5.145e+09   4.010e-03
  980.00   990.00     2.319e+08   4.417e-03
  990.00  1000.00     4.049e+08   4.417e-03
 1000.00  1010.00     8.641e+07   4.375e-03
 1010.00  1020.00     1.614e+08   4.375e-03
 1020.00  1030.00     3.624e+09   5.156e-03
 1030.00  1040.00     4.018e+09   4.850e-03
 1040.00  1050.00     1.773e+08   4.375e-03
 1050.00  1100.00     3.298e+09   3.019e-03
 1100.00  1150.00     3.200e+09   2.097e-03
 1150.00  1210.00     1.625e+10   3.693e-03
 1210.00  1220.00     3.938e+11   4.244e-03
 1220.00  1250.00     7.236e+09   2.444e-03
 1250.00  1300.00     7.791e+09   2.605e-03
 1300.00  1350.00     2.663e+10   2.863e-03
 1350.00  1400.00     1.388e+10   2.633e-03
 1400.00  1450.00     1.826e+10   1.861e-03
 1450.00  1500.00     2.803e+10   1.199e-03
 1500.00  1550.00     5.087e+10   1.522e-03
 1550.00  1600.00     7.263e+10   1.120e-03
 1600.00  1650.00     1.055e+11   1.036e-03
 1650.00  1700.00     1.997e+11   6.127e-04
 1700.00  1750.00     3.396e+11   5.921e-04
